Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude,Group 1 Percentile Rank,Group 2 Percentile Rank,Luckiness
NTUC FP Toa Payoh HDB Centre,9,25,"Toa Payoh East, Singapore 311019, Singapore",311019.0,Toa Payoh,1.3343035,103.8563265,92.95774647887323,73.80281690140845,8.338028169014084
NTUC FP Jurong East Gateway Road,9,38,"JEM, 50 Jurong Gateway Road, Singapore 608549, Singapore",608549.0,Jurong East,1.3328572,103.7435522,92.95774647887323,90.70422535211267,9.183098591549296
Jake Merchandise Associates,9,29,"504 Tampines Central 1, Singapore 520501, Singapore",520501.0,Tampines,1.3564777,103.9456697,92.95774647887323,80.70422535211267,8.683098591549296
Wanrise,8,32,"47 Sims Place, Singapore 380047, Singapore",380047.0,Geylang,1.3179319,103.8790692,89.85915492957747,84.64788732394366,8.725352112676058
Tan Boon Tin Agency,8,23,"56 Marine Crescent, Singapore 440056, Singapore",440056.0,Marine Parade,1.3056035,103.9153585,89.85915492957747,70.28169014084507,8.007042253521126
Singapore Pools Tampines Mart Branch,8,19,"Tampines Mart, Tampines Street 34, Singapore 520358, Singapore",520358.0,Tampines,1.3544742,103.9602966,89.85915492957747,60.70422535211267,7.528169014084507
Singapore Pools Lor 8 Toa Payoh Branch,8,24,"212 Lorong 8 Toa Payoh, Singapore 310212, Singapore",310212.0,Toa Payoh,1.3406805,103.8542859,89.85915492957747,71.9718309859155,8.09154929577465
Singapore Pools Jurong West N4 Branch,8,41,"498 Jurong West Street 41, Singapore 640498, Singapore",640498.0,Jurong West,1.3488039,103.7244554,89.85915492957747,93.80281690140845,9.183098591549296
Singapore Pools Chinatown Branch,8,54,"3 McCallum Street, Singapore 069047, Singapore",69047.0,Downtown Core,1.2796704,103.8475525,89.85915492957747,97.74647887323944,9.380281690140844
PFG Framing & Trading,8,33,"960 Jurong West Street 92, Singapore 640960, Singapore",640960.0,Jurong West,1.3413833,103.6917323,89.85915492957747,85.91549295774648,8.788732394366198
NTUC FP Yishun MRT Station,8,30,"Yishun Avenue 2, Singapore 769093, Singapore",769093.0,Yishun,1.429387,103.8350907,89.85915492957747,81.97183098591549,8.591549295774648
NTUC FP Lot 1 Shoppers Mall,8,24,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, Singapore 689812, Singapore",689812.0,Choa Chu Kang,1.384959,103.7451389,89.85915492957747,71.9718309859155,8.09154929577465
NTUC FP Bukit Batok MRT Station,8,23,"10 Bukit Batok Central, Singapore 659958, Singapore",659958.0,Bukit Batok,1.3490579,103.7496251,89.85915492957747,70.28169014084507,8.007042253521126
NTUC FP Bedok North St 4,8,13,"89 Bedok North Avenue 4, Singapore 460089, Singapore",460089.0,Bedok,1.3320812,103.9382634,89.85915492957747,40.985915492957744,6.542253521126762
Livewire (Singapore Pools),8,32,"Hotel Clover Hongkong Street, Central Water Catchment, Singapore",,Central Water Catchment,1.352083,103.819836,89.85915492957747,84.64788732394366,8.725352112676058
Cheers Harbourfront Centre,8,25,"HarbourFront Centre, 2 Maritime Square, Singapore 099253, Singapore",99253.0,Bukit Merah,1.2643689,103.8200727,89.85915492957747,73.80281690140845,8.183098591549296
Singapore Pools Serangoon Central Branch,7,36,"254 Serangoon Central Drive, Singapore 550254, Singapore",550254.0,Serangoon,1.3541926,103.8711495,85.77464788732394,89.1549295774648,8.746478873239436
Singapore Pools New Upper Changi Branch,7,19,"26 New Upper Changi Road, Singapore 462026, Singapore",462026.0,Bedok,1.3232231,103.9341789,85.77464788732394,60.70422535211267,7.32394366197183
Singapore Pools Lucky Plaza Branch,7,45,"Lucky Plaza, 304 Orchard Road, Singapore 238863, Singapore",238863.0,Orchard,1.3046391,103.8341137,85.77464788732394,96.05633802816902,9.091549295774648
Singapore Pools Jurong West N5 Branch,7,45,"508 Jurong West Avenue 1, Singapore 640508, Singapore",640508.0,Jurong West,1.3487409,103.7185553,85.77464788732394,96.05633802816902,9.091549295774648
Singapore Pools Holland Drive Branch,7,45,"46 Holland Drive, Singapore 270046, Singapore",270046.0,Queenstown,1.3088172,103.7927834,85.77464788732394,96.05633802816902,9.091549295774648
Singapore Pools Clementi N3 Branch,7,28,"325 Clementi Avenue 5, Singapore 120325, Singapore",120325.0,Clementi,1.3149354,103.7668267,85.77464788732394,79.01408450704224,8.239436619718308
Singapore Pools Ang Mo Kio N7 Branch,7,41,"726 Ang Mo Kio Avenue 6, Singapore 560726, Singapore",560726.0,Ang Mo Kio,1.372754,103.8464776,85.77464788732394,93.80281690140845,8.97887323943662
Singapore Pools Anchorvale Rd Branch,7,19,"308 Anchorvale Road, Singapore 540308, Singapore",540308.0,Seng Kang,1.3895484,103.8862946,85.77464788732394,60.70422535211267,7.32394366197183
NTUC FP Tanjong Pagar Plaza,7,18,"Tanjong Pagar Plaza, 1 Tanjong Pagar Road, Singapore 082001, Singapore",82001.0,Outram,1.2758753,103.8430795,85.77464788732394,57.183098591549296,7.147887323943661
NTUC FP Jurong Point,7,72,"Jurong Point, 1 Jurong West Central 2, Singapore 648886, Singapore",648886.0,Jurong West,1.340096,103.7070117,85.77464788732394,99.15492957746478,9.246478873239436
NTUC FP Clementi Avenue 3,7,26,"451 Clementi Avenue 3, Singapore 120451, Singapore",120451.0,Clementi,1.3127067,103.7656936,85.77464788732394,75.77464788732394,8.077464788732394
