Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude,Group 1 Z-Score,Group 2 Z-Score,Luckiness Index
Singapore Pools Ang Mo Kio N4 Branch,5,36,"447 Ang Mo Kio Avenue 10, Singapore 560447, Singapore",560447.0,Ang Mo Kio,1.3674091,103.8560374,0.43808978142887295,1.2569401040748456,0.8475149427518592
Singapore Pools 64 Circuit Rd Branch,5,10,"64 Circuit Road, Singapore 370064, Singapore",370064.0,Geylang,1.3271128,103.8871285,0.43808978142887295,-0.5861181590930497,-0.07401418883208835
Sheng Siong Junction 9,5,10,"Junction Nine, Yishun Avenue 9, Singapore 768897, Singapore",768897.0,Yishun,1.4332086,103.8419101,0.43808978142887295,-0.5861181590930497,-0.07401418883208835
Prime Chai Chee,5,11,"750B Chai Chee Road, Singapore 460027, Singapore",460027.0,Bedok,1.3232446,103.9215,0.43808978142887295,-0.5152313028173614,-0.03857076069424423
NTUC FP Yishun Ring Rd,5,26,"414 Yishun Ring Road, Singapore 760413, Singapore",760413.0,Yishun,1.4245498,103.8466415,0.43808978142887295,0.5480715413179629,0.4930806613734179
NTUC FP White Sands,5,31,"570 Pasir Ris Street 53, Singapore 510570, Singapore",510570.0,Pasir Ris,1.3725642,103.9469,0.43808978142887295,0.9025058226964042,0.6702978020626386
NTUC FP Havelock Road,5,4,"50 Beo Crescent, Singapore 160050, Singapore",160050.0,Bukit Merah,1.2898284,103.8267171,0.43808978142887295,-1.0114392967471793,-0.2866747576591532
NTUC FP Boon Lay Place,5,40,"Jalan Buroh, Singapore 619175, Singapore",619175.0,Boon Lay,1.3142556,103.7093099,0.43808978142887295,1.5404875291775988,0.9892886553032358
Ng Nam Thye Trading,5,21,"Taman Jurong Shopping Centre, 399 Yung Sheng Road, Singapore 610399, Singapore",610399.0,Jurong West,1.3345709,103.72059,0.43808978142887295,0.19363725993952144,0.3158635206841972
Nan Huat Wine Store,5,32,"513 Bishan Street 13, Singapore 570513, Singapore",570513.0,Bishan,1.3495879,103.8494614,0.43808978142887295,0.9733926789720926,0.7057412302004827
Lucky Hill,5,11,"Radin Mas Primary School, 1 Bukit Purmei Avenue, Singapore 099840, Singapore",99840.0,Bukit Merah,1.2745295,103.8233,0.43808978142887295,-0.5152313028173614,-0.03857076069424423
Giant Parkway Parade,5,16,"Parkway Parade, 80 Marine Parade Road, Singapore 449269, Singapore",449269.0,Marine Parade,1.3013366,103.9052333,0.43808978142887295,-0.16079702143891997,0.13864637999497648
Everstream Trading,5,38,"283 Bukit Batok East Avenue 3, Singapore 650283, Singapore",650283.0,Bukit Batok,1.3471972,103.7576875,0.43808978142887295,1.3987138166262223,0.9184017990275476
Dawn Florist,5,18,"Western Islands, Southwest, Singapore",,Western Islands,1.2745282,103.7433,0.43808978142887295,-0.019023308887543406,0.20953323627066478
Cold Storage Northpoint,5,25,"Northpoint City, 930 Yishun Avenue 2, Singapore 769098, Singapore",769098.0,Yishun,1.4293478,103.8358671,0.43808978142887295,0.47718468504227457,0.45763723323557376
Clifford Gift Shop,5,32,"532 Ang Mo Kio Avenue 10, Singapore 560532, Singapore",560532.0,Ang Mo Kio,1.3738269,103.8551874,0.43808978142887295,0.9733926789720926,0.7057412302004827
Cheers New Upper Changi Rd,5,20,"Sky Eden@Bedok (U/C), 799 New Upper Changi Road, Singapore 467351, Singapore",467351.0,Bedok,1.325244,103.932204,0.43808978142887295,0.12275040366383316,0.28042009254635303
Afro Asia Co Pte Ltd,5,14,"322 Tengah Drive, Singapore 690322, Singapore",690322.0,Park,1.3651116,103.7381,0.43808978142887295,-0.30257073399029655,0.0677595237192882
7-Eleven Sixth Avenue,5,11,"11 Maple Avenue, Singapore 279886, Singapore",279886.0,Bukit Timah,1.3311169,103.7926,0.43808978142887295,-0.5152313028173614,-0.03857076069424423
7-Eleven Owen Road,5,13,"44 Dorset Road, Singapore 218953, Singapore",218953.0,Kallang,1.3158217,103.8507664,0.43808978142887295,-0.3734575902659848,0.032316095581444076
Yeo Soon Huat,4,9,"70 Lorong 4 Toa Payoh, Singapore 310070, Singapore",310070.0,Toa Payoh,1.3343937,103.8524032,0.12029514490055122,-0.6570050153687379,-0.2683549352340933
U Stars Sumang Walk,4,2,"Matilda Portico, 218 Sumang Walk, Singapore 820218, Singapore",820218.0,Punggol,1.4032997,103.8950457,0.12029514490055122,-1.153213009298556,-0.5164589321990024
Tuck Lee Long,4,19,"159 Ang Mo Kio Avenue 4, Singapore 560616, Singapore",560616.0,Ang Mo Kio,1.374789,103.8398767,0.12029514490055122,0.05186354738814488,0.08607934614434805
Teo Khar Bee Agency,4,26,"72 Redhill Road, Singapore 150072, Singapore",150072.0,Bukit Merah,1.2872356,103.8162,0.12029514490055122,0.5480715413179629,0.33418334310925707
Tay Ah Tho Trading,4,19,"768 Woodlands Avenue 6, Singapore 732799, Singapore",732799.0,Woodlands,1.445962,103.798159,0.12029514490055122,0.05186354738814488,0.08607934614434805
Tan Kai Huat Provision Shop,4,14,"123 Hougang Avenue 1, Singapore 530123, Singapore",530123.0,Hougang,1.3533485,103.8861709,0.12029514490055122,-0.30257073399029655,-0.09113779454487267
Singapore Pools Silat Ave Branch,4,11,"150 Silat Avenue, Singapore 160150, Singapore",160150.0,Bukit Merah,1.2770211,103.8314085,0.12029514490055122,-0.5152313028173614,-0.1974680789584051
Singapore Pools LOT One Branch,4,11,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, Singapore 689812, Singapore",689812.0,Choa Chu Kang,1.3849961,103.7451511,0.12029514490055122,-0.5152313028173614,-0.1974680789584051
Singapore Pools Jalan Tiga Branch,4,33,"41 Jalan Tiga, Singapore 390041, Singapore",390041.0,Geylang,1.3078367,103.8847076,0.12029514490055122,1.0442795352477807,0.5822873400741659
Singapore Pools Ghim Moh Branch,4,13,"21 Ghim Moh Road, Singapore 270021, Singapore",270021.0,Queenstown,1.3100933,103.7884694,0.12029514490055122,-0.3734575902659848,-0.1265812226827168
Singapore Pools Geylang Bahru Branch,4,16,"68 Geylang Bahru, Singapore 330068, Singapore",330068.0,Kallang,1.3222623,103.8704758,0.12029514490055122,-0.16079702143891997,-0.020250938269184372
Singapore Pools Funan Branch,4,6,"Funan, 107 North Bridge Road, Singapore 179105, Singapore",179105.0,Downtown Core,1.2912647,103.8501932,0.12029514490055122,-0.8696655841958028,-0.37468521964762574
Singapore Pools Chinatown Point Branch,4,55,"3 McCallum Street, Singapore 069047, Singapore",69047.0,Downtown Core,1.2796704,103.8475525,0.12029514490055122,2.6037903733129233,1.3620427591067372
Singapore Pools Chin Swee Branch,4,14,"53 Chin Swee Road, Singapore 160053, Singapore",160053.0,Outram,1.2876753,103.8415514,0.12029514490055122,-0.30257073399029655,-0.09113779454487267
Singapore Pools Cheong Chin Nam Rd Branch,4,21,"5 Cheong Chin Nam Road, Singapore 599744, Singapore",599744.0,Hillview,1.3424696,103.7753346,0.12029514490055122,0.19363725993952144,0.15696620242003634
Singapore Pools Bukit Batok Central Branch,4,39,"642 Bukit Batok Central, Singapore 650642, Singapore",650642.0,Bukit Batok,1.3489923,103.7517942,0.12029514490055122,1.4696006729019104,0.7949479089012308
Singapore Pools Beo Crescent Branch,4,20,"36 Beo Crescent, Singapore 160040, Singapore",160040.0,Bukit Merah,1.2883928,103.8270797,0.12029514490055122,0.12275040366383316,0.12152277428219219
Singapore Pools Bedok North Branch,4,22,"Bedok North Road, Singapore 460516, Singapore",460516.0,Bedok,1.3306806,103.9305125,0.12029514490055122,0.2645241162152097,0.19240963055788046
Singapore Pools 88 Circuit Rd Branch,4,21,"88 Pipit Road, Singapore 370088, Singapore",370088.0,Geylang,1.3236883,103.8858681,0.12029514490055122,0.19363725993952144,0.15696620242003634
Sheng Moh Fruits & Provision Store,4,9,"1A Jalan Mas Puteh, Singapore 128607, Singapore",128607.0,Clementi,1.3083357,103.7621136,0.12029514490055122,-0.6570050153687379,-0.2683549352340933
Prime Keat Hong,4,13,"Keat Hong Shopping Centre, 253 Choa Chu Kang Avenue 1, Singapore 680253, Singapore",680253.0,Choa Chu Kang,1.3780745,103.7442567,0.12029514490055122,-0.3734575902659848,-0.1265812226827168
